"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABLIM1",5.36719085449428e-05,0.000117779585861009,0.000354891308086935,0.000117993081576388,1.1088829955454e-06,2.1001352650228e-05
"ABLIM2",0.000254765784228615,8.87211053598676e-05,7.28129178142823e-05,5.15804653044996e-05,5.78836923674696e-05,6.95287500361916e-05
"ABLIM3",4.38281523925952e-05,5.03886417200642e-05,4.01331043070848e-06,8.12447672392762e-05,5.10086177950882e-06,2.03896627672116e-07
"ABO",0.000716953573095983,0.000221029931471447,0.000171043468356385,4.20613236388624e-06,1.1088829955454e-06,0.000717104439522833
"ABR",0.00016476572797858,9.49037607856424e-05,8.23684188397787e-05,3.60841881743924e-05,2.01816705189262e-05,7.48300623556667e-05
"ABRACL",9.1406307128942e-06,3.09132771288737e-07,1.91110020509927e-07,7.30538778990767e-06,6.87507457238145e-06,2.03896627672116e-07
"ABRAXAS1",1.7578135986335e-05,7.72831928221844e-06,1.91110020509927e-07,7.01759978606283e-05,2.10687769153625e-05,8.01313746751417e-05
"ABRAXAS2",1.89843868652418e-05,3.09132771288737e-07,1.28043713741651e-05,2.05879110442853e-05,1.1088829955454e-06,6.3207954578356e-06
"ABT1",9.1406307128942e-06,3.09132771288737e-07,1.91110020509927e-07,7.74813856505359e-06,6.65329797327237e-07,4.28182918111444e-06
"ABTB1",8.92969308105818e-05,4.42059862942895e-05,6.68885071784746e-06,2.2137538757296e-07,4.05851176369615e-05,8.9510619548059e-05
"ABTB2",2.55468909668069e-05,3.49320031556273e-05,2.54176327278203e-05,1.99237848815664e-06,3.57060324565617e-05,6.3207954578356e-06
"ABTB3",7.031254394534e-07,1.39109747079932e-05,5.73330061529782e-07,2.43512926330256e-06,2.88309578841803e-06,1.36610740540318e-05
"ACAA1",0.000237422023388765,2.56580200169652e-05,2.80931730149593e-05,5.91072284819803e-05,3.21576068708165e-05,4.50611547155377e-05
"ACAA2",0.000139453212158258,1.94753645911905e-05,6.97551574861235e-05,6.64126162718879e-07,6.36498839443057e-05,6.11689883016349e-07
"ACACA",9.82031863769915e-05,3.09132771288737e-07,4.68219550249322e-05,2.41299172454526e-05,5.96579051603423e-05,1.24376942879991e-05
"ACACB",0.00141117275698297,3.09132771288737e-07,0.000916372548345102,0.000161825408315834,0.00194786386997504,6.11689883016349e-07
"ACAD10",6.25781641113526e-05,2.31849578466553e-05,1.71999018458935e-06,2.45726680205985e-05,2.21776599109079e-07,0.000105414556506484
