"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABRAXAS2",1.25162931394904e-05,2.17728968101447e-05,5.28598868019435e-06,1.01879173196016e-05,1.05318090724872e-05,9.8259084838466e-07
"ABT1",2.19584090166497e-07,1.9793542554677e-06,1.39104965268272e-06,2.36928309758177e-07,1.69798554433978e-05,1.96518169676932e-07
"ABTB1",3.53530385168061e-05,2.32124271777575e-05,5.20252570103338e-05,2.10866195684777e-05,0.000112410941732874,1.4345826386416e-05
"ABTB2",6.08247929761198e-05,1.9793542554677e-06,2.5038893748289e-06,1.58741967537978e-05,2.42876413304297e-05,2.10274441554317e-05
"ABTB3",5.48960225416244e-06,5.93806276640309e-06,4.17314895804817e-06,2.36928309758177e-07,5.37337197575878e-06,2.16169986644625e-06
"ACAA1",0.000189061901633354,7.64750507794337e-05,5.14688371492607e-05,5.37827263151061e-05,1.50454415321246e-06,3.59628250508786e-05
"ACAA2",1.11987885984914e-05,8.45724090972561e-06,0.000126585518394128,3.55392464637265e-06,0.000139062866732637,2.2992625852201e-05
"ACACA",2.43738340084812e-05,2.03333664425318e-05,2.78209930536545e-07,9.59559654520616e-05,3.63239945561294e-05,3.16394253179861e-05
"ACACB",0.00123384300264555,1.02566538692417e-05,0.000435954961150765,0.00220461792229983,0.000420197688504337,0.000592109245236596
"ACAD10",8.71748837960995e-05,9.89677127733848e-06,2.08657447902408e-05,7.1078492927453e-07,5.39486546366182e-05,1.27736810290006e-05
"ACAD11",1.95429840248183e-05,1.45752449720803e-05,3.75583406224335e-05,4.288402406623e-05,6.23311149188019e-06,6.66196595204799e-05
"ACAD8",6.58752270499492e-07,7.37759313401596e-06,5.84240854126744e-06,5.92320774395442e-06,2.14934879030351e-07,5.89554509030796e-07
"ACAD9",1.09792045083249e-06,1.79941295951609e-07,2.78209930536545e-07,2.60621140733994e-06,1.31110276208514e-05,1.74901171012469e-05
"ACADL",4.61126589349645e-06,1.79941295951609e-07,9.18092770770597e-06,2.36928309758177e-07,4.94350221769808e-06,5.89554509030796e-07
"ACADM",1.97625681149848e-06,1.79941295951609e-07,4.72956881912126e-06,1.39787702757324e-05,2.14934879030351e-07,2.55473620580012e-06
