"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABL1",5.25668859884822e-05,3.3620352103602e-05,1.5294580911489e-05,2.12486199021374e-07,2.20708261639933e-07,5.88419057074509e-06
"ABL2",9.77079665213423e-07,6.55205931693452e-05,7.1131939794703e-05,7.62825454486731e-05,3.99481953568279e-05,0.000134266530296092
"ABLIM1",0.000367186538187205,0.000148085922986563,8.49698939527169e-06,3.61226538336335e-06,1.61117030997151e-05,7.07885956541152e-05
"ABLIM2",0.000311688413203082,5.83274015564816e-05,1.21385562789596e-06,6.01335943230487e-05,1.21389543901963e-05,9.00459466129173e-05
"ABLIM3",3.02894696216161e-05,5.58254218650507e-05,3.64156688368787e-06,2.12486199021374e-07,0.000103070758185849,9.80698428457515e-06
"ABO",0.000735740987905708,1.56373730714428e-07,1.7722292167281e-05,0.00055692632763502,0.000410296658388635,6.82922723816778e-05
"ABR",2.63811509607624e-05,6.70843304764895e-05,8.47271228271377e-05,6.90580146819464e-05,0.000127790083489521,6.11599201747141e-05
"ABRACL",1.50470268442867e-05,1.72011103785871e-06,2.42771125579191e-07,1.29616581403038e-05,6.40053958755806e-06,3.38786729830778e-06
"ABRAXAS1",3.71290272781101e-06,7.86559865493572e-05,7.98717003155539e-05,2.82606644698427e-05,4.17138614499473e-05,8.91544025870468e-07
"ABRAXAS2",2.24728322999087e-05,2.048495872359e-05,1.69939787905434e-06,1.72113821207313e-05,6.40053958755806e-06,1.78308805174094e-07
"ABT1",1.95415933042685e-07,1.40736357642985e-06,7.04036264179655e-06,4.0372377814061e-06,8.16620568067752e-06,3.38786729830778e-06
"ABTB1",8.26609396770556e-05,2.9241887643598e-05,4.00572357205666e-05,4.73844223817663e-05,2.71471161817118e-05,2.76378648019845e-05
"ABTB2",1.38745312460306e-05,2.03285849928756e-06,8.01144714411331e-06,5.67338151387067e-05,2.36157839954728e-05,2.40716886985026e-05
"ABTB3",1.95415933042685e-07,6.41132295929154e-06,6.55482039063816e-06,1.16867409461755e-05,1.9863743547594e-06,1.24816163621866e-06
"ACAA1",7.23038952257933e-06,2.34560596071642e-06,0.000117258453654749,0.000188900230930001,9.60080938133709e-05,1.5156248439798e-05
"ACAA2",0.000163172304090642,4.01880487936079e-05,4.05427779717249e-05,7.01204456770533e-06,6.62124784919799e-07,2.05055125950208e-05
"ACACA",1.95415933042685e-07,3.04928774893134e-05,1.23813274045388e-05,7.03329318760747e-05,6.2460438044101e-05,6.82922723816778e-05
"ACACB",1.27020356477745e-05,0.000242535656338077,0.0032223011498126,2.12486199021374e-07,0.00107418710940155,0.000842152486837244
"ACAD10",4.82677354615431e-05,1.45427569564418e-05,5.09819363716302e-06,6.65081802936899e-05,5.89291058578621e-05,6.95404340178965e-06
"ACAD11",2.24728322999087e-05,3.86243114864637e-05,1.96644611719145e-05,1.7636354518774e-05,0.000109692006035047,3.74448490865597e-06
"ACAD8",1.19203719156038e-05,3.9093432678607e-06,1.21385562789596e-06,1.06243099510687e-06,2.20708261639933e-07,5.34926415522281e-07
"ACAD9",9.96621258517692e-06,7.97506026643582e-06,4.12710913484625e-06,1.55114925285603e-05,2.42779087803926e-06,5.88419057074509e-06
"ACADL",5.27623019215249e-06,7.81868653572139e-07,4.61265138600463e-06,2.12486199021374e-07,5.95912306427819e-06,2.31801446726322e-06
"ACADM",2.93123899564027e-06,4.69121192143283e-07,9.95361614874684e-06,1.29616581403038e-05,1.10354130819966e-06,5.34926415522281e-07
"ACADS",1.95415933042685e-07,2.97110088357413e-06,4.24849469763585e-05,4.56845327895953e-05,3.15612814145104e-05,1.94356597639762e-05
"ACADSB",1.95415933042685e-07,1.40736357642985e-06,1.21385562789596e-06,5.73712737357709e-06,1.3021787436756e-05,5.34926415522281e-07
"ACADVL",1.75874339738416e-06,3.28384834500298e-06,4.61265138600463e-06,1.55114925285603e-05,2.53814500885923e-05,2.33584534778063e-05
"ACAN",9.12592407309338e-05,1.82957264935881e-05,3.64156688368787e-06,7.58575730506304e-05,4.83351092991453e-05,3.049080568477e-05
"ACAP1",8.69600902039947e-05,7.34956534357811e-06,3.95716934694082e-05,7.96823246330151e-05,5.2749274531944e-05,1.97922773743244e-05
"ACAP2",0.000183886392993166,0.000145896690756561,6.62765172831192e-05,7.16078490702029e-05,6.62124784919799e-07,4.5825362929742e-05
"ACAP3",2.71628146929332e-05,1.29790196492975e-05,9.95361614874684e-06,2.69857472757144e-05,2.42779087803926e-06,1.78308805174094e-07
"ACAT1",9.77079665213423e-07,1.48555044178706e-05,8.01144714411331e-06,3.84600020228686e-05,7.52615172192172e-05,2.6746320776114e-06
"ACAT2",1.77828499068843e-05,3.59659580643184e-06,5.5837358883214e-06,2.12486199021374e-07,2.49400335653124e-05,5.17095535004871e-06
"ACBD3",1.95415933042685e-07,3.39330995650308e-05,4.39415737298336e-05,5.9708621925006e-05,8.45312642080943e-05,1.12334547259679e-05
"ACBD4",3.34161245502991e-05,2.34560596071642e-06,2.42771125579191e-07,2.76232058727786e-06,1.10354130819966e-06,5.88419057074509e-06
"ACBD5",5.86247799128054e-07,3.7998816563606e-05,9.68656791060973e-05,9.56187895596181e-06,1.69945361462748e-05,2.6746320776114e-06
"ACBD6",2.67719828268478e-05,1.76702315707303e-05,1.91789189207561e-05,5.31215497553434e-06,1.47874535298755e-05,3.38786729830778e-06
"ACCS",2.93123899564027e-06,4.69121192143283e-07,1.48090386603307e-05,7.16078490702029e-05,2.3174367472193e-05,5.34926415522281e-07
"ACD",3.32207086172564e-06,4.84758565214726e-06,3.15602463252949e-06,1.48740339314961e-06,2.20708261639933e-07,1.78308805174094e-07
"ACE",8.40288512083544e-06,2.34560596071642e-06,1.21385562789596e-06,1.4236575334432e-05,2.18501179023534e-05,1.60477924656684e-06
"ACE2",3.32207086172564e-06,2.03285849928756e-06,2.42771125579191e-07,6.37458597064121e-07,6.62124784919799e-07,5.88419057074509e-06
"ACER1",1.36791153129879e-06,4.69121192143283e-07,4.61265138600463e-06,4.88718257749159e-06,3.310623924599e-06,1.19466899466643e-05
"ACER2",1.75874339738416e-06,8.91330265072238e-06,5.5837358883214e-06,6.37458597064121e-07,6.62124784919799e-07,8.91544025870468e-07
"ACER3",0.000123307453749934,0.000271308422789532,0.000153674122491628,6.37458597064121e-07,2.20708261639933e-07,0.000179556966810312
"ACHE",8.85234176683362e-05,1.76702315707303e-05,3.66584399624579e-05,1.08367961500901e-05,1.9863743547594e-06,2.6746320776114e-06
"ACIN1",1.66103543086282e-05,2.03285849928756e-06,1.67512076649642e-05,4.10098364111251e-05,1.10354130819966e-06,1.47996308294498e-05
"ACKR1",2.24728322999087e-05,1.56373730714428e-07,1.7722292167281e-05,4.88718257749159e-06,1.56702865764352e-05,1.78308805174094e-07
"ACKR2",2.98986377555308e-05,3.9093432678607e-06,1.62656654138058e-05,2.01861889070305e-05,1.87602022393943e-05,5.17095535004871e-06
"ACKR3",6.4487257904086e-06,5.16033311357612e-06,1.96644611719145e-05,1.67864097226885e-05,2.80299492282715e-05,8.91544025870468e-07
"ACKR4",1.95415933042685e-07,9.22605011215124e-06,6.06927813947978e-06,3.61226538336335e-06,2.20708261639933e-07,1.15900723363161e-05
"ACLY",0.000367186538187205,0.000164036043519435,0.000213395819384109,7.58575730506304e-05,0.000191354062841822,4.47555100986975e-05
"ACMSD",1.95415933042685e-07,2.97110088357413e-06,2.42771125579191e-07,2.12486199021374e-07,3.75204044787886e-06,1.78308805174094e-07
"ACO1",1.36791153129879e-06,4.69121192143283e-07,1.86933766695977e-05,1.72113821207313e-05,4.19345697115873e-06,1.60477924656684e-06
