"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ACAT1",2.2535194451865e-05,1.37982823276264e-05,5.85029655808305e-05,5.11452791884403e-07,4.8321301046792e-05,1.60265803123993e-06
"ACAT2",1.49239698356722e-07,9.71710023072283e-07,1.28751700313025e-05,3.32444314724862e-05,8.64696966100488e-06,6.86853441959968e-07
"ACBD3",3.77576436842506e-05,5.8302601384337e-07,2.25880175987763e-07,5.11452791884403e-07,7.51099521534345e-05,9.40989215485157e-05
"ACBD4",4.47719095070165e-07,1.49643343553132e-05,5.64700439969407e-06,1.79008477159541e-05,5.08645274176758e-07,1.60265803123993e-06
"ACBD5",6.58147069753143e-05,7.57933817996381e-06,2.64279805905682e-05,1.58550365484165e-05,2.54322637088379e-06,5.72377868299974e-06
"ACBD6",2.53707487206427e-06,3.09003787336986e-05,4.29172334376749e-06,8.52421319807339e-07,8.64696966100488e-06,6.89142953433168e-05
"ACCS",1.7162565311023e-05,1.65190703922288e-05,6.09876475166959e-06,2.71069979698734e-05,3.22142006978613e-06,1.48818245757993e-05
"ACD",4.47719095070165e-07,2.13776205075902e-06,6.77640527963288e-07,1.07405086295725e-05,1.69548424725586e-07,2.28951147319989e-07
"ACE",3.4325130622046e-06,1.45756503460842e-05,6.77640527963288e-07,1.27863197971101e-05,4.23871061813965e-06,1.14475573659995e-06
"ACE2",1.49239698356722e-07,1.74907804153011e-06,4.74348369574302e-06,5.96694923865137e-06,1.1868389730791e-06,6.86853441959968e-07
"ACER1",2.23859547535083e-06,6.80197016150598e-06,2.25880175987763e-07,6.98985482242018e-06,8.47742123627929e-07,6.18168097763972e-06
"ACER2",7.46198491783608e-07,2.91513006921685e-06,1.15198889753759e-05,2.21629543149908e-06,5.08645274176758e-07,2.06056032587991e-06
"ACER3",8.16341150011268e-05,0.00015916610177924,0.000130332861544939,0.000137580801016905,0.000148693968484339,2.28951147319989e-07
"ACHE",1.7162565311023e-05,3.51759028352166e-05,4.13360722057606e-05,1.07405086295725e-05,1.69548424725586e-07,4.96823989684377e-05
"ACIN1",1.56701683274558e-05,1.45756503460842e-05,4.74348369574302e-06,1.24453512691872e-05,3.22142006978613e-06,2.44977727632389e-05
"ACKR1",4.92491004577182e-06,4.08118209690359e-06,2.25880175987763e-07,7.67179187826605e-06,5.08645274176758e-07,3.13663071828386e-05
"ACKR2",1.08944979800407e-05,1.88511744476023e-05,4.90159981893445e-05,5.96694923865137e-06,8.47742123627929e-07,9.84489933475955e-06
"ACKR3",7.46198491783608e-07,1.22435462907108e-05,4.29172334376749e-06,1.70484263961468e-07,2.49236184346611e-05,2.0834554406119e-05
"ACKR4",4.47719095070165e-07,1.94342004614457e-07,5.19524404771854e-06,2.71069979698734e-05,3.89961376868848e-06,1.03028016293995e-05
"ACLY",0.000200428914893077,0.000140120585327023,3.9980791149834e-05,0.000299540851780299,0.000138860159850255,0.000164157972628432
"ACMSD",7.46198491783608e-07,5.8302601384337e-07,6.77640527963288e-07,4.60307512695963e-06,1.69548424725586e-07,1.14475573659995e-06
"ACO1",1.62671271208827e-05,5.8302601384337e-07,9.26108721549827e-06,1.53435837565321e-06,1.69548424725586e-07,1.62555314597192e-05
"ACO2",3.73099245891804e-06,1.96285424660601e-05,1.01646079194493e-05,1.51730994925706e-05,1.1868389730791e-06,2.44977727632389e-05
"ACOT11",3.73099245891804e-06,0.000101252184404132,5.98582466367571e-05,9.63236091382293e-05,1.1868389730791e-06,4.69349852005978e-05
"ACOT12",2.53707487206427e-06,1.3603940323012e-06,2.93644228784092e-06,1.70484263961468e-07,5.08645274176758e-07,1.14475573659995e-06
"ACOT13",2.53707487206427e-06,1.94342004614457e-07,1.42304510872291e-05,3.15395888328715e-05,1.16988413060654e-05,2.51846262051988e-06
"ACOT2",1.04467788849705e-06,1.74907804153011e-06,1.12940087993881e-06,5.62598071072844e-06,1.69548424725586e-07,1.14475573659995e-06
"ACOT4",1.49239698356722e-07,5.63591813381924e-06,1.58116123191434e-06,1.70484263961468e-07,3.5605169192373e-06,1.60265803123993e-06
"ACOT6",2.23859547535083e-06,9.71710023072283e-07,1.58116123191434e-06,1.70484263961468e-07,5.08645274176758e-07,2.97636491515986e-06
"ACOT7",7.238125370301e-05,4.4698661061325e-06,0.000191772269413611,5.0292857868633e-05,1.78025845961865e-05,0.000190716305717551
"ACOT8",4.02947185563149e-06,3.24551147706142e-05,1.78445339030333e-05,7.67179187826605e-06,3.22142006978613e-06,5.26587638835976e-06
"ACOT9",7.46198491783608e-07,1.74907804153011e-06,6.09876475166959e-06,3.23920101526789e-06,1.1868389730791e-06,1.76292383436392e-05
"ACOX1",7.14858155128697e-05,7.3655619748879e-05,9.05779505710929e-05,8.01276040618899e-06,6.25633687237412e-05,3.43426720979984e-06
"ACOX2",1.49239698356722e-07,7.19065417073489e-06,6.77640527963288e-07,2.89823248734495e-06,2.88232322033496e-06,2.28951147319989e-07
"ACOX3",9.40210099647347e-06,1.94342004614457e-07,6.09876475166959e-06,3.49492741121009e-05,2.52627152841123e-05,2.0834554406119e-05
"ACOXL",2.83555426877771e-06,1.18548622814819e-05,1.58116123191434e-06,5.11452791884403e-07,1.69548424725586e-07,1.85450429329191e-05
"ACP1",0.000243409948019813,6.9380095647361e-05,0.000193127550469537,8.52421319807339e-07,2.08544562412471e-05,0.000134394323476834
"ACP2",1.49239698356722e-07,1.94342004614457e-07,6.09876475166959e-06,1.53435837565321e-06,5.59509801594433e-06,1.94608475221991e-05
"ACP3",1.49239698356722e-07,4.08118209690359e-06,4.29172334376749e-06,4.60307512695963e-06,1.69548424725586e-07,4.2355962254198e-05
"ACP4",1.3431572852105e-06,4.56703710843973e-05,1.78445339030333e-05,5.67712598991688e-05,8.47742123627929e-07,1.44239222811593e-05
"ACP5",1.49239698356722e-07,8.35670619842163e-06,4.29172334376749e-06,1.19338984773027e-06,1.50898098005771e-05,6.86853441959968e-07
"ACP6",2.23859547535083e-06,8.74539020765055e-06,1.15198889753759e-05,2.57431238581816e-05,1.13597444566143e-05,1.35081176918794e-05
"ACR",1.49239698356722e-07,1.94342004614457e-07,7.90580615957169e-06,5.11452791884403e-07,1.69548424725586e-07,1.16765085133195e-05
"ACRBP",1.49239698356722e-07,5.42214192874334e-05,1.51339717911801e-05,4.72241411173266e-05,1.86503267198144e-06,4.80797409371978e-06
"ACRV1",6.41730702933903e-06,5.24723412459033e-06,7.90580615957169e-06,1.99466588834917e-05,2.88232322033496e-06,4.18980599595581e-05
"ACSBG1",2.04458386748709e-05,4.95572111766864e-05,2.32656581267396e-05,1.38092253808789e-05,4.23871061813965e-06,1.21344108079594e-05
"ACSBG2",1.49239698356722e-07,3.30381407844576e-06,5.19524404771854e-06,1.87532690357615e-06,1.52593582253027e-06,2.28951147319989e-07
"ACSF2",7.46198491783608e-07,2.07945944937469e-05,1.46822114392046e-05,1.58550365484165e-05,6.61238856429785e-06,2.2666163584679e-05
"ACSF3",9.40210099647347e-06,6.97687796565899e-05,2.03292158388986e-06,1.70484263961468e-07,2.20412952143262e-06,8.47119245083961e-06
"ACSL1",4.47719095070165e-07,9.71710023072283e-07,1.01646079194493e-05,1.79008477159541e-05,2.52627152841123e-05,1.21344108079594e-05
"ACSL3",0.000176550563156002,0.000269163676391022,0.000134850465064694,2.60840923861046e-05,5.74769159819736e-05,1.14475573659995e-06
"ACSL4",7.65599652569982e-05,5.8302601384337e-07,0.000104582521482334,2.74479664977963e-05,1.91589719939912e-05,0.00021864834569059
"ACSL5",5.5218688391987e-06,1.74907804153011e-06,3.9077270445883e-05,2.89823248734495e-06,5.93419486539551e-06,2.44977727632389e-05
"ACSL6",0.000141628473740529,2.0017226475289e-05,2.50726995346417e-05,1.99466588834917e-05,1.54289066500283e-05,7.44091228789966e-05
"ACSM1",4.47719095070165e-07,1.14661782722529e-05,1.58116123191434e-06,8.69469746203486e-06,1.69548424725586e-07,2.28951147319989e-07
"ACSM3",2.53707487206427e-06,8.74539020765055e-06,2.25880175987763e-07,1.19338984773027e-06,4.23871061813965e-06,3.89216950443982e-06
"ACSM5",7.61122461619281e-06,4.85855011536141e-06,2.48468193586539e-06,1.87532690357615e-06,5.25600116649316e-06,1.99187498168391e-05
"ACSS1",1.02975391866138e-05,0.000171215306065336,2.14586167188375e-05,4.21096131984826e-05,5.34077537885596e-05,8.35671687717961e-05
"ACSS2",4.47719095070165e-07,1.41869663368553e-05,1.55857321431556e-05,4.60307512695963e-06,7.96877596210254e-06,9.38699704011957e-06
"ACSS3",2.83555426877771e-06,2.91513006921685e-06,2.48468193586539e-06,3.58016954319082e-06,1.20379381555166e-05,1.60265803123993e-06
